Iter,Loss,l1,l2
1.020000000000000000e+02,5.712634905806650067e+02,9.312126922607421875e+01,2.115345764160156250e+02
1.030000000000000000e+02,5.701370503751345495e+02,9.306581878662109375e+01,2.151898193359375000e+02
1.040000000000000000e+02,5.689851705818415439e+02,9.301103210449218750e+01,2.180968933105468750e+02
1.050000000000000000e+02,5.678050396625424128e+02,9.295692443847656250e+01,2.202719421386718750e+02
1.060000000000000000e+02,5.666509422300377992e+02,9.290347290039062500e+01,2.217402038574218750e+02
1.070000000000000000e+02,5.654885018861886010e+02,9.285061645507812500e+01,2.225299072265625000e+02
1.080000000000000000e+02,5.643370578197257146e+02,9.279825592041015625e+01,2.226701507568359375e+02
1.090000000000000000e+02,5.632472738242825017e+02,9.274629974365234375e+01,2.221948089599609375e+02
1.100000000000000000e+02,5.621795253428732622e+02,9.269467926025390625e+01,2.211462707519531250e+02
1.110000000000000000e+02,5.611477924191044622e+02,9.264333343505859375e+01,2.195723724365234375e+02
1.120000000000000000e+02,5.601638542006585340e+02,9.259221649169921875e+01,2.175207366943359375e+02
1.130000000000000000e+02,5.591848895017947143e+02,9.254127502441406250e+01,2.150370330810546875e+02
1.140000000000000000e+02,5.582223170420149927e+02,9.249042510986328125e+01,2.121689605712890625e+02
1.150000000000000000e+02,5.572753836082047201e+02,9.243962097167968750e+01,2.089688262939453125e+02
1.160000000000000000e+02,5.563263307698152857e+02,9.238884735107421875e+01,2.054907073974609375e+02
1.170000000000000000e+02,5.553884415083208523e+02,9.233808135986328125e+01,2.017850189208984375e+02
1.180000000000000000e+02,5.544599809020568273e+02,9.228729248046875000e+01,1.978977813720703125e+02
1.190000000000000000e+02,5.535350146908039051e+02,9.223643493652343750e+01,1.938744354248046875e+02
1.200000000000000000e+02,5.526177062006569258e+02,9.218545532226562500e+01,1.897626342773437500e+02
1.210000000000000000e+02,5.517108631085649222e+02,9.213430023193359375e+01,1.856096801757812500e+02
1.220000000000000000e+02,5.508133567849716883e+02,9.208292388916015625e+01,1.814575958251953125e+02
1.230000000000000000e+02,5.499292452252041130e+02,9.203127288818359375e+01,1.773421478271484375e+02
1.240000000000000000e+02,5.490626625742078204e+02,9.197928619384765625e+01,1.732961120605468750e+02
1.250000000000000000e+02,5.482049545268384918e+02,9.192688751220703125e+01,1.693520965576171875e+02
1.260000000000000000e+02,5.473575045480519066e+02,9.187400817871093750e+01,1.655411987304687500e+02
1.270000000000000000e+02,5.465176736511568834e+02,9.182058715820312500e+01,1.618894653320312500e+02
1.280000000000000000e+02,5.456789096200076301e+02,9.176656341552734375e+01,1.584167633056640625e+02
1.290000000000000000e+02,5.448489216185305395e+02,9.171186828613281250e+01,1.551395721435546875e+02
1.300000000000000000e+02,5.440240877074859327e+02,9.165643310546875000e+01,1.520734710693359375e+02
1.310000000000000000e+02,5.432054345801426507e+02,9.160020446777343750e+01,1.492329864501953125e+02
1.320000000000000000e+02,5.423971419602921742e+02,9.154310607910156250e+01,1.466289825439453125e+02
1.330000000000000000e+02,5.415937419717448620e+02,9.148506927490234375e+01,1.442674865722656250e+02
1.340000000000000000e+02,5.407997385505486818e+02,9.142606353759765625e+01,1.421511077880859375e+02
1.350000000000000000e+02,5.400144951831481421e+02,9.136602783203125000e+01,1.402810974121093750e+02
1.360000000000000000e+02,5.392367301843751193e+02,9.130491638183593750e+01,1.386575622558593750e+02
1.370000000000000000e+02,5.384689320465848823e+02,9.124269104003906250e+01,1.372774963378906250e+02
1.380000000000000000e+02,5.377069146373212334e+02,9.117932891845703125e+01,1.361337127685546875e+02
1.390000000000000000e+02,5.369507191847344529e+02,9.111482238769531250e+01,1.352157592773437500e+02
1.400000000000000000e+02,5.361994386366212666e+02,9.104915618896484375e+01,1.345117492675781250e+02
1.410000000000000000e+02,5.354517882287761950e+02,9.098235321044921875e+01,1.340091247558593750e+02
1.420000000000000000e+02,5.347093257733329210e+02,9.091440582275390625e+01,1.336937103271484375e+02
1.430000000000000000e+02,5.339712744293620972e+02,9.084532165527343750e+01,1.335489044189453125e+02
1.440000000000000000e+02,5.332377605765769886e+02,9.077513122558593750e+01,1.335565032958984375e+02
1.450000000000000000e+02,5.325087321247275440e+02,9.070384979248046875e+01,1.336982879638671875e+02
1.460000000000000000e+02,5.317835293647211756e+02,9.063150024414062500e+01,1.339564819335937500e+02
1.470000000000000000e+02,5.310623565279719287e+02,9.055810546875000000e+01,1.343130645751953125e+02
1.480000000000000000e+02,5.303449979136944421e+02,9.048368072509765625e+01,1.347490692138671875e+02
1.490000000000000000e+02,5.296308753391348318e+02,9.040824890136718750e+01,1.352451934814453125e+02
1.500000000000000000e+02,5.289199196607034992e+02,9.033184814453125000e+01,1.357826995849609375e+02
1.510000000000000000e+02,5.282114824054433484e+02,9.025450134277343750e+01,1.363438720703125000e+02
1.520000000000000000e+02,5.275055045765150226e+02,9.017621612548828125e+01,1.369115600585937500e+02
1.530000000000000000e+02,5.268022281493090304e+02,9.009702301025390625e+01,1.374688415527343750e+02
1.540000000000000000e+02,5.261014214924576891e+02,9.001694488525390625e+01,1.379997711181640625e+02
1.550000000000000000e+02,5.254035479303217926e+02,8.993599700927734375e+01,1.384901428222656250e+02
1.560000000000000000e+02,5.247080426209645339e+02,8.985417938232421875e+01,1.389275970458984375e+02
1.570000000000000000e+02,5.240148757285925285e+02,8.977150726318359375e+01,1.393014526367187500e+02
1.580000000000000000e+02,5.233237238770174145e+02,8.968798065185546875e+01,1.396026306152343750e+02
1.590000000000000000e+02,5.226342214141168370e+02,8.960359954833984375e+01,1.398240203857421875e+02
1.600000000000000000e+02,5.219464206262504149e+02,8.951834869384765625e+01,1.399607238769531250e+02
1.610000000000000000e+02,5.212597173676858802e+02,8.943223571777343750e+01,1.400099487304687500e+02
1.620000000000000000e+02,5.205741730002824852e+02,8.934523010253906250e+01,1.399707641601562500e+02
1.630000000000000000e+02,5.198893307214482320e+02,8.925732421875000000e+01,1.398439483642578125e+02
1.640000000000000000e+02,5.192052520893902283e+02,8.916850280761718750e+01,1.396320037841796875e+02
1.650000000000000000e+02,5.185218114889590879e+02,8.907875061035156250e+01,1.393389892578125000e+02
1.660000000000000000e+02,5.178388244152341713e+02,8.898804473876953125e+01,1.389704132080078125e+02
1.670000000000000000e+02,5.171561875144313944e+02,8.889636230468750000e+01,1.385327301025390625e+02
1.680000000000000000e+02,5.164734898510114363e+02,8.880368804931640625e+01,1.380331726074218750e+02
1.690000000000000000e+02,5.157906591466015698e+02,8.870998382568359375e+01,1.374793395996093750e+02
1.700000000000000000e+02,5.151073357175984029e+02,8.861524963378906250e+01,1.368791656494140625e+02
1.710000000000000000e+02,5.144234499200894106e+02,8.851946258544921875e+01,1.362406463623046875e+02
1.720000000000000000e+02,5.137387324691246704e+02,8.842259216308593750e+01,1.355715789794921875e+02
1.730000000000000000e+02,5.130530650520220206e+02,8.832463073730468750e+01,1.348793334960937500e+02
1.740000000000000000e+02,5.123663007260878430e+02,8.822557067871093750e+01,1.341707916259765625e+02
1.750000000000000000e+02,5.116783225846295977e+02,8.812538909912109375e+01,1.334525909423828125e+02
1.760000000000000000e+02,5.109890532768141043e+02,8.802407836914062500e+01,1.327308959960937500e+02
1.770000000000000000e+02,5.102983186951140055e+02,8.792162322998046875e+01,1.320112304687500000e+02
1.780000000000000000e+02,5.096060016519123224e+02,8.781802368164062500e+01,1.312985076904296875e+02
1.790000000000000000e+02,5.089119017426981486e+02,8.771325683593750000e+01,1.305970916748046875e+02
1.800000000000000000e+02,5.082159110587991222e+02,8.760732269287109375e+01,1.299108276367187500e+02
1.810000000000000000e+02,5.075178648898575489e+02,8.750020599365234375e+01,1.292428283691406250e+02
1.820000000000000000e+02,5.068176531454607243e+02,8.739189910888671875e+01,1.285953216552734375e+02
1.830000000000000000e+02,5.061151343048219928e+02,8.728239440917968750e+01,1.279698104858398438e+02
1.840000000000000000e+02,5.054102045419949718e+02,8.717169189453125000e+01,1.273671951293945312e+02
1.850000000000000000e+02,5.047027527844796850e+02,8.705976867675781250e+01,1.267875518798828125e+02
1.860000000000000000e+02,5.039926781820975066e+02,8.694664001464843750e+01,1.262301788330078125e+02
1.870000000000000000e+02,5.032798865800841668e+02,8.683228302001953125e+01,1.256935501098632812e+02
1.880000000000000000e+02,5.025642879967361409e+02,8.671669006347656250e+01,1.251756057739257812e+02
1.890000000000000000e+02,5.018458009502016353e+02,8.659987640380859375e+01,1.246737594604492188e+02
1.900000000000000000e+02,5.011243416797934742e+02,8.648181152343750000e+01,1.241847610473632812e+02
1.910000000000000000e+02,5.003998480717017401e+02,8.636250305175781250e+01,1.237048492431640625e+02
